Section Title,Paragraphs,Lists,Table,Figures
"9.1
 
Work, Power, and the Work–Energy Theorem","_paragraph_1
 9.1
_paragraph_2
 Work, Power, and the Work–Energy Theorem
_paragraph_3
 34
_paragraph_4
 .
_paragraph_5
 35
_paragraph_6
 .
_paragraph_7
 True or false—While riding a bicycle up a gentle hill, it is fairly easy to increase your potential energy, but to increase your kinetic energy would make you feel exhausted.
_paragraph_8
 36
_paragraph_9
 .
_paragraph_10
 Which statement best explains why running on a track with constant speed at 3 m/s is not work, but climbing a mountain at 1 m/s is work?
_paragraph_11
 37
_paragraph_12
 .",,,
Short Answer,"_paragraph_1
 35
_paragraph_2
 .
_paragraph_3
 True or false—While riding a bicycle up a gentle hill, it is fairly easy to increase your potential energy, but to increase your kinetic energy would make you feel exhausted.",,,
"9.2
 
Mechanical Energy and Conservation of Energy","_paragraph_1
 9.2
_paragraph_2
 Mechanical Energy and Conservation of Energy
_paragraph_3
 38
_paragraph_4
 .
_paragraph_5
 True or false—The formula for gravitational potential energy can be used to explain why joules, J, are equivalent to kg × mg2 / s2 . Show your work.
_paragraph_6
 39
_paragraph_7
 .
_paragraph_8
 40
_paragraph_9
 .
_paragraph_10
 41
_paragraph_11
 .
_paragraph_12
 True or false—A marble rolls down a slope from height h1 and up another slope to height h2, where (h2 < h1). The difference mg(h1 – h2) is equal to the heat lost due to the friction.",,,
"9.3
 
Simple Machines","_paragraph_1
 9.3
_paragraph_2
 Simple Machines
_paragraph_3
 42
_paragraph_4
 .
_paragraph_5
 Why would you expect the lever shown in the top image to have a greater efficiency than the inclined plane shown in the bottom image?
_paragraph_6
 43
_paragraph_7
 .
_paragraph_8
 Why is the wheel on a wheelbarrow not a simple machine in the same sense as the simple machine in the image?
_paragraph_9
 44
_paragraph_10
 .
_paragraph_11
 A worker pulls down on one end of the rope of a pulley system with a force of 75 N to raise a hay bale tied to the other end of the rope. If she pulls the rope down 2.0 m and the bale raises 1.0 m, what else would you have to know to calculate the efficiency of the pulley system?
_paragraph_12
 45
_paragraph_13
 .
_paragraph_14
 True or false—A boy pushed a box with a weight of 300 N up a ramp. He said that, because the ramp was 1.0 m high and 3.0 m long, he must have been pushing with force of exactly 100 N.",,,
"9.1
 
Work, Power, and the Work–Energy Theorem","_paragraph_1
 9.1
_paragraph_2
 Work, Power, and the Work–Energy Theorem
_paragraph_3
 46
_paragraph_4
 .
_paragraph_5
 Work can be negative as well as positive because an object or system can do work on its surroundings as well as have work done on it. Which of the following statements describes:
 a situation in which an object does work on its surroundings by decreasing its velocity and
 a situation in which an object can do work on its surroundings by decreasing its altitude?
_paragraph_6
 47
_paragraph_7
 .
_paragraph_8
 A boy is pulling a girl in a child’s wagon at a constant speed. He begins to pull harder, which increases the speed of the wagon. Which of the following describes two ways you could calculate the change in energy of the wagon and girl if you had all the information you needed?",,,
Extended Response,"_paragraph_1
 46
_paragraph_2
 .
_paragraph_3
 Work can be negative as well as positive because an object or system can do work on its surroundings as well as have work done on it. Which of the following statements describes:
 a situation in which an object does work on its surroundings by decreasing its velocity and
 a situation in which an object can do work on its surroundings by decreasing its altitude?",,,
"9.2
 
Mechanical Energy and Conservation of Energy","_paragraph_1
 9.2
_paragraph_2
 Mechanical Energy and Conservation of Energy
_paragraph_3
 48
_paragraph_4
 .
_paragraph_5
 Acceleration due to gravity on the moon is 1.6 m/s2 or about 16% of the value of g on Earth.
 If an astronaut on the moon threw a moon rock to a height of 7.8 m, what would be its velocity as it struck the
moon’s surface?
 How would the fact that the moon has no atmosphere affect the velocity of the falling moon rock? Explain your
answer.
_paragraph_6
 49
_paragraph_7
 .",,,
"9.3
 
Simple Machines","_paragraph_1
 9.3
_paragraph_2
 Simple Machines
_paragraph_3
 50
_paragraph_4
 .
_paragraph_5
 To dig a hole, one holds the handles together and thrusts the blades of a posthole digger, like the one in the image, into the ground. Next, the handles are pulled apart, which squeezes the dirt between them, making it possible to remove the dirt from the hole. This complex machine is composed of two pairs of two different simple machines. Identify and describe the parts that are simple machines and explain how you would find the IMA of each type of simple machine.
_paragraph_6
 51
_paragraph_7
 .
_paragraph_8
 A wooden crate is pulled up a ramp that is 1.0 m high and 6.0 m long. The crate is attached to a rope that is wound around an axle with a radius of 0.020 m . The axle is turned by a 0.20 m long handle. What is the overall IMA of the complex machine?",,,
Teacher Support,"_paragraph_1
 Teacher Support
_paragraph_2
 Start a discussion that taps into the longing of humans to explore worlds beyond our planet. Is this basic human nature? Perhaps it is; humans have now been almost everywhere there is to go on this planet. Ask students why we have not traveled to other star systems yet. Is it just a matter waiting a few years for technological advances, or is there a more daunting problem? If no one knows, tell them it all has to do with achievable speeds, and use this as a lead-in to Einstein’s postulate related to the speed of light.",,,
10.1 Postulates of Special Relativity,"_paragraph_1
 By the end of this section, you will be able to do the following:","_list_1
 Describe the experiments and scientific problems that led Albert Einstein to develop the special theory of relativity
Understand the postulates on which the special theory of relativity was based",,
Section Key Terms,"_paragraph_1
 Teacher Support
_paragraph_2
 Teacher Support
_paragraph_3
 [AL] Discuss the history of the concept of the ether. Explain that it more of a philosophical concept that was important prior to the development of modern science. It arose from the belief that matter was continuous and vacuums were impossible. Ether was sometimes considered to be one of the elements.
_paragraph_4
 [AL]
_paragraph_5
 [BL][OL] Mention that electromagnetic waves are unique among wave-propagated energy forms, in that they can travel across empty space. This was difficult to believe and caused scientists to doggedly hang onto the idea that there must be an ether permeating space. Ask students what they know about Einstein and dispel any misconceptions. Explain what thought experiments and postulates are.
_paragraph_6
 [BL]
_paragraph_7
 [OL]",,"_table_1
 ['ether', 'frame of reference', 'inertial reference frame']
['general relativity', 'postulate', 'relativity']
['simultaneity', 'special relativity', '']",
Scientific Experiments and Problems,"_paragraph_1
 Relativity is not new. Way back around the year 1600, Galileo explained that motion is relative. Wherever you happen to be, it seems like you are at a fixed point and that everything moves with respect to you. Everyone else feels the same way. Motion is always measured with respect to a fixed point. This is called establishing a frame of reference. But the choice of the point is arbitrary, and all frames of reference are equally valid. A passenger in a moving car is not moving with respect to the driver, but they are both moving from the point of view of a person on the sidewalk waiting for a bus. They are moving even faster as seen by a person in a car coming toward them. It is all relative.
_paragraph_2
 frame of reference
_paragraph_3
 Teacher Support
_paragraph_4
 Teacher Support
_paragraph_5
 [OL][AL] Focus students’ thinking on the speed of light. Can the students think of anything else that has a maximum allowable value and is also a universal constant? Most constants are just numbers, like the value of pi. Most properties, such as mass and volume, have no fixed upper limit. Why does speed have a limit?
_paragraph_6
 [OL]
_paragraph_7
 [AL]
_paragraph_8
 Tips For Success
_paragraph_9
 A frame of reference is not a complicated concept. It is just something you decide is a fixed point or group of connected points. It is completely up to you. For example, when you look up at celestial objects in the sky, you choose the earth as your frame of reference, and the sun, moon, etc., seem to move across the sky.
_paragraph_10
 Light is involved in the discussion of relativity because theories related to electromagnetism are inconsistent with Galileo’s and Newton’s explanation of relativity. The true nature of light was a hot topic of discussion and controversy in the late 19th century. At the time, it was not generally believed that light could travel across empty space. It was known to travel as waves, and all other types of energy that propagated as waves needed to travel though a material medium. It was believed that space was filled with an invisible medium that light waves traveled through. This imaginary (as it turned out) material was called the ether (also spelled aether). It was thought that everything moved through this mysterious fluid. In other words, ether was the one fixed frame of reference. The Michelson–Morley experiment proved it was not.
_paragraph_11
 ether
_paragraph_12
 Michelson–Morley experiment
_paragraph_13
 In 1887, Albert Michelson and Edward Morley designed the interferometer shown in Figure 10.2 to measure the speed of Earth through the ether. A light beam is split into two perpendicular paths and then recombined. Recombining the waves produces an inference pattern, with a bright fringe at the locations where the two waves arrive in phase; that is, with the crests of both waves arriving together and the troughs arriving together. A dark fringe appears where the crest of one wave coincides with a trough of the other, so that the two cancel. If Earth is traveling through the ether as it orbits the sun, the peaks in one arm would take longer than in the other to reach the same location. The places where the two waves arrive in phase would change, and the interference pattern would shift. But, using the interferometer, there was no shift seen! This result led to two conclusions: that there is no ether and that the speed of light is the same regardless of the relative motion of source and observer. The Michelson–Morley investigation has been called the most famous failed experiment in history.
_paragraph_14
 Figure
_paragraph_15
 10.2
_paragraph_16
 This is a diagram of the instrument used in the Michelson–Morley experiment.
_paragraph_17
 Teacher Support
_paragraph_18
 Teacher Support
_paragraph_19
 [BL][OL] Explain the geometry of the Michelson–Morley experiment. Explain why failure in this case was actually a success. Discuss how accepting unexpected results is an important ability for scientists. Ask students to memorize the value of the speed of light in m/s to three significant figures.
_paragraph_20
 [BL]
_paragraph_21
 [OL]
_paragraph_22
 To see what Michelson and Morley expected to find when they measured the speed of light in two directions, watch this animation. In the video, two people swimming in a lake are represented as an analogy to light beams leaving Earth as it moves through the ether (if there were any ether). The swimmers swim away from and back to a platform that is moving through the water. The swimmers swim in different directions with respect to the motion of the platform. Even though they swim equal distances at the same speed, the motion of the platform causes them to arrive at different times.
_paragraph_23
 Teacher Support
_paragraph_24
 Teacher Support
_paragraph_25
 [AL]Be sure students understand that this animation does not explain how light behaves. It shows what Michelson and Morley expected to observe. It may work best to just introduce the Michelson—Morley experiment briefly and then watch the animation.
_paragraph_26
 [AL]",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/f239d5d1cc705a94f35fdb1598d7b4ca4286c349"
Einstein’s Postulates,"_paragraph_1
 The results described above left physicists with some puzzling and unsettling questions such as, why doesn’t light emitted by a fast-moving object travel faster than light from a street lamp? A radical new theory was needed, and Albert Einstein, shown in Figure 10.3, was about to become everyone’s favorite genius. Einstein began with two simple postulates based on the two things we have discussed so far in this chapter.
_paragraph_2
 postulates
_paragraph_3
 Figure
_paragraph_4
 10.3
_paragraph_5
 Albert Einstein (1879–1955) developed modern relativity and also made fundamental contributions to the foundations of quantum mechanics. (The Library of Congress)
_paragraph_6
 The speed of light is given the symbol c and is equal to exactly 299,792,458 m/s. This is the speed of light in vacuum; that is, in the absence of air. For most purposes, we round this number off to  

3.00×

10

8

 m/s


3.00×

10

8

 m/s
  The term inertial reference frame simply refers to a frame of reference where all objects follow Newton’s first law of motion: Objects at rest remain at rest, and objects in motion remain in motion at a constant velocity in a straight line, unless acted upon by an external force. The inside of a car moving along a road at constant velocity and the inside of a stationary house are inertial reference frames.
_paragraph_7
 3.00×

10

8

 m/s


3.00×

10

8

 m/s
_paragraph_8
 inertial reference frame
_paragraph_9
 Teacher Support
_paragraph_10
 Teacher Support
_paragraph_11
 [BL] Ask students to round off the value given for c to 3 significant figures and express in scientific notation. Stress the units of measurements.
_paragraph_12
 [BL]
_paragraph_13
 [OL] Explain the postulates carefully. Note that, although they both seem true, they lead to problems with the classical mechanics of Newton. Explain the concept of reference frame and ask students to think of examples of reference frames that are moving relative to one other. Use vehicles and celestial bodies. Explain that the understanding of relative motion goes back hundreds of years and did not begin with relativity theory.
_paragraph_14
 [OL]
_paragraph_15
 [AL] Explain that it is the combination of these two postulates that leads to unusual results that will follow in the next section and that it is the combination of these postulates that forces us to abandon some aspects of Newtonian physics in some scenarios.
_paragraph_16
 [AL]
_paragraph_17
 Misconception Alert
_paragraph_18
 Note that the very precise value for the speed of light only applies to light traveling through a vacuum and that in all transparent material media it is slower.
_paragraph_19
 Watch Physics
_paragraph_20
 The Speed of Light
_paragraph_21
 This lecture on light summarizes the most important facts about the speed of light. If you are interested, you can watch the whole video, but the parts relevant to this chapter are found between 3:25 and 5:10, which you find by running your cursor along the bottom of the video.
_paragraph_22
 Teacher Support
_paragraph_23
 Teacher Support
_paragraph_24
 Only the section from 3:25 to 5:10 minutes is completely relevant to an understanding of the speed of light. If students watch it just after the text above, they will be adequately prepared.
_paragraph_25
 Grasp Check
_paragraph_26
 An airliner traveling at 200 m/s emits light from the front of the plane. Which statement describes the speed of the light?
_paragraph_27
 Snap Lab
_paragraph_28
 Measure the Speed of Light
_paragraph_29
 In this experiment, you will measure the speed of light using a microwave oven and a slice of bread. The waves generated by a microwave oven are not part of the visible spectrum, but they are still electromagnetic radiation, so they travel at the speed of light. If we know the wavelength, λ, and frequency, f, of a wave, we can calculate its speed, v, using the equation v = λf. You can measure the wavelength. You will find the frequency on a label on the back of a microwave oven. The wave in a microwave is a standing wave with areas of high and low intensity. The high intensity sections are one-half wavelength apart.
_paragraph_30
 Teacher Support
_paragraph_31
 Teacher Support
_paragraph_32
 This experiment could be demonstrated to the class if a microwave is available in the classroom. It might be better to let the students do the experiment at home so they can get more of a hands-on experience. Before the lab you might have them watch this video.
_paragraph_33
 To continue the discussion, you could tell them about how light is refracted when it changes speed as it passes from one medium to another. Because light speed in air is slower than in a vacuum, light is refracted as it enters Earth’s atmosphere.
_paragraph_34
 This link takes you to a video demonstrating how to measure the speed of light using a microwave, a ruler, and a bar of chocolate. There is also an accompanying article with background information on measuring the speed of light.
_paragraph_35
 Grasp Check
_paragraph_36
 How does your measured value of the speed of light compare to the accepted value (% error)?
_paragraph_37
 Teacher Support
_paragraph_38
 Teacher Support
_paragraph_39
 [AL] This will be difficult to grasp completely for some students. The fact that the observers see different things is the result of the two postulates being true. If light speed is a constant and the two frames of reference are both valid, then simultaneity is not the same for all observers. Ask them to try the thought experiment in their own head to grasp what is being shown here. Sometimes students have fun sketching a cartoon that explains or demonstrates difficult concepts. They can then show the cartoon to the class and explain their reasoning.
_paragraph_40
 [AL]
_paragraph_41
 [OL] If students are struggling with this explanation of simultaneity, let them know that there will be an animation in the next section that should make it clearer.
_paragraph_42
 [OL]
_paragraph_43
 [OL][BL] Point out that the relationship between special relativity and Newton’s mechanics is an excellent example of how science advances. Explain that new theories rarely reverse old theories. It is more common that new theories extend and expand on old theories. Ask students if they can think of other examples from the history of science.
_paragraph_44
 [OL]
_paragraph_45
 [BL]
_paragraph_46
 Einstein’s postulates were carefully chosen, and they both seemed very likely to be true. Einstein proceeded despite realizing that these two ideas taken together and applied to extreme conditions led to results that contradict Newtonian mechanics. He just took the ball and ran with it.
_paragraph_47
 In the traditional view, velocities are additive. If you are running at 3 m/s and you throw a ball forward at a speed of 10 m/s, the ball should have a net speed of 13 m/s. However, according to relativity theory, the speed of a moving light source is not added to the speed of the emitted light.
_paragraph_48
 In addition, Einstein’s theory shows that if you were moving forward relative to Earth at nearly c (the speed of light) and could throw a ball forward at c, an observer at rest on the earth would not see the ball moving at nearly twice the speed of light. The observer would see it moving at a speed that is still less than c. This result conforms to both of Einstein’s postulates: The speed of light has a fixed maximum and neither reference frame is privileged.
_paragraph_49
 Consider how we measure elapsed time. If we use a stopwatch, for example, how do we know when to start and stop the watch? One method is to use the arrival of light from the event, such as observing a light turn green to start a drag race. The timing will be more accurate if some sort of electronic detection is used, avoiding human reaction times and other complications.
_paragraph_50
 Now suppose we use this method to measure the time interval between two flashes of light produced by flash lamps on a moving train. (See Figure 10.4)
_paragraph_51
 Figure
_paragraph_52
 10.4
_paragraph_53
 Light arriving to observer A as seen by two different observers.
_paragraph_54
 A woman (observer A) is seated in the center of a rail car, with two flash lamps at opposite sides equidistant from her. Multiple light rays that are emitted from the flash lamps move towards observer A, as shown with arrows. A velocity vector arrow for the rail car is shown towards the right. A man (observer B) standing on the platform is facing the woman and also observes the flashes of light.
_paragraph_55
 Observer A moves with the lamps on the rail car as the rail car moves towards the right of observer B. Observer B receives the light flashes simultaneously, and sees the bulbs as both having flashed at the same time. However, he sees observer A receive the flash from the right first. Because the pulse from the right reaches her first, in her frame of reference she sees the bulbs as not having flashed simultaneously. Here, a relative velocity between observers affects whether two events at well-separated locations are observed to be simultaneous. Simultaneity, or whether different events occur at the same instant, depends on the frame of reference of the observer. Remember that velocity equals distance divided by time, so t = d/v. If velocity appears to be different, then duration of time appears to be different.
_paragraph_56
 Simultaneity
_paragraph_57
 This illustrates the power of clear thinking. We might have guessed incorrectly that, if light is emitted simultaneously, then two observers halfway between the sources would see the flashes simultaneously. But careful analysis shows this not to be the case. Einstein was brilliant at this type of thought experiment (in German, Gedankenexperiment). He very carefully considered how an observation is made and disregarded what might seem obvious. The validity of thought experiments, of course, is determined by actual observation. The genius of Einstein is evidenced by the fact that experiments have repeatedly confirmed his theory of relativity. No experiments after that of Michelson and Morley were able to detect any ether medium. We will describe later how experiments also confirmed other predictions of special relativity, such as the distance between two objects and the time interval of two events being different for two observers moving with respect to each other.
_paragraph_58
 special relativity
_paragraph_59
 In summary: Two events are defined to be simultaneous if an observer measures them as occurring at the same time (such as by receiving light from the events). Two events are not necessarily simultaneous to all observers.
_paragraph_60
 The discrepancies between Newtonian mechanics and relativity theory illustrate an important point about how science advances. Einstein’s theory did not replace Newton’s but rather extended it. It is not unusual that a new theory must be developed to account for new information. In most cases, the new theory is built on the foundation of older theory. It is rare that old theories are completely replaced.
_paragraph_61
 In this chapter, you will learn about the theory of special relativity, but, as mentioned in the introduction, Einstein developed two relativity theories: special and general. Table 10.1 summarizes the differences between the two theories.
_paragraph_62
 Table
_paragraph_63
 10.1
_paragraph_64
 Comparing Special Relativity and General Relativity
_paragraph_65
 Worked Example
_paragraph_66
 Calculating the Time it Takes Light to Travel a Given Distance
_paragraph_67
 The sun is 1.50 × 108 km from Earth. How long does it take light to travel from the sun to Earth in minutes and seconds?
_paragraph_68
 Strategy
_paragraph_69
 Identify knowns.
_paragraph_70
 10.1
_paragraph_71
 Identify unknowns.
_paragraph_72
 Time
_paragraph_73
 Find the equation that relates knowns and unknowns.
_paragraph_74
 10.2
_paragraph_75
 Be sure to use consistent units.
_paragraph_76
 The answer is written as 5.00 × 102 rather than 500 in order to show that there are three significant figures. When astronomers witness an event on the sun, such as a sunspot, it actually happened minutes earlier. Compare 8 light minutes to the distance to stars, which are light years away. Any events on other stars happened years ago.
_paragraph_77
 Teacher Support
_paragraph_78
 Teacher Support
_paragraph_79
 Identify the three variables and choose the relevant equation. In physics, calculations are usually done using units of meters and seconds. Use scientific notation to keep track of significant figures.","_list_1
 High temperature: Very hot temperatures are encountered in this lab. These can cause burns.
_list_2
 a microwave oven
one slice of plain white bread
a centimeter ruler
a calculator","_table_1
 []
['Published in 1905', 'Final form published in 1916']
['A theory of space-time', 'A theory of gravity']
['Applies to observers moving at constant speed', 'Applies to observers that are accelerating']
['Most useful in the field of nuclear physics', 'Most useful in the field of astrophysics']
['Accepted quickly and put to practical use by nuclear physicists and quantum chemists', 'Largely ignored until 1960 when new mathematical techniques made the theory more accessible and astronomers found some important applications']
['Also note that the theory of general relativity includes the theory of special relativity.']","_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/34a6d9a5ffed11c8a90fc1c38ddba3f496c59c18
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/c12a97abe5bebd061696274a398e5a57e03b181f"
10.1 Postulates of Special Relativity,,,,
Practice Problems,"_paragraph_1
 1
_paragraph_2
 .
_paragraph_3
 Light travels through 1.00 m of water in 4.42×10-9 s. What is the speed of light in water?
_paragraph_4
 2
_paragraph_5
 .
_paragraph_6
 An astronaut on the moon receives a message from mission control on Earth. The signal is sent by a form of electromagnetic radiation and takes 1.28 s to travel the distance between Earth and the moon. What is the distance from Earth to the moon?",,,
Check Your Understanding,"_paragraph_1
 Teacher Support
_paragraph_2
 Teacher Support
_paragraph_3
 Use the Check Your Understanding questions to assess students’ achievement of the section’s learning objectives. If students are struggling with a specific objective, the Check Your Understanding will help identify which and direct students to the relevant content.
_paragraph_4
 3
_paragraph_5
 .
_paragraph_6
 4
_paragraph_7
 .
_paragraph_8
 Two people swim away from a raft that is floating downstream. One swims upstream and returns, and the other swims across the current and back. If this scenario represents the Michelson–Morley experiment, what do (i) the water, (ii) the swimmers, and (iii) the raft represent?
_paragraph_9
 5
_paragraph_10
 .
_paragraph_11
 If Michelson and Morley had observed the interference pattern shift in their interferometer, what would that have indicated?
_paragraph_12
 6
_paragraph_13
 .
_paragraph_14
 If you designate a point as being fixed and use that point to measure the motion of surrounding objects, what is the point called?",,,
10.2 Consequences of Special Relativity,"_paragraph_1
 By the end of this section, you will be able to do the following:","_list_1
 Describe the relativistic effects seen in time dilation, length contraction, and conservation of relativistic momentum
Explain and perform calculations involving mass-energy equivalence",,
Section Key Terms,,,"_table_1
 ['binding energy', 'length contraction', 'mass defect', 'time dilation']
['proper length', 'relativistic', 'relativistic momentum', '']
['relativistic energy', 'relativistic factor', 'rest mass', '']",
